parameter,condition,action,guidance
nitrogen,low,Nitrogen supplementation may be required,Use a soil-test-based and crop-specific nitrogen recommendation.
nitrogen,adequate,Maintain nitrogen management,Avoid unnecessary nitrogen application.
nitrogen,high,Avoid additional nitrogen unless recommended,Review soil-test results and crop requirements before applying more nitrogen.
phosphorus,low,Phosphorus supplementation may be required,Use a soil-test-based and crop-specific phosphorus recommendation.
phosphorus,adequate,Maintain phosphorus management,Avoid unnecessary phosphorus application.
phosphorus,high,Avoid additional phosphorus unless recommended,Review soil-test results before applying more phosphorus.
potassium,low,Potassium supplementation may be required,Use a soil-test-based and crop-specific potassium recommendation.
potassium,adequate,Maintain potassium management,Avoid unnecessary potassium application.
potassium,high,Avoid additional potassium unless recommended,Review soil-test results before applying more potassium.
ph,acidic,Consider soil acidity management,Use soil-test guidance to determine whether liming is appropriate.
ph,suitable,Maintain suitable soil pH,Continue appropriate soil management practices.
ph,alkaline,Consider alkaline-soil management,Use crop- and soil-specific guidance before attempting to lower pH.
moisture,low,Improve water availability,Adjust irrigation according to crop water requirements and soil conditions.
moisture,suitable,Maintain appropriate moisture,Continue suitable irrigation and drainage practices.
moisture,high,Improve drainage,Avoid excessive irrigation and improve drainage where appropriate.
organic_matter,low,Increase organic matter,Use suitable well-managed organic amendments and crop-residue practices.
organic_matter,adequate,Maintain organic matter,Continue appropriate residue and organic-matter management.
organic_matter,high,Avoid unnecessary organic amendments,Monitor nutrient and salt levels before adding more organic material.
