crop,min_n,max_n,min_p,max_p,min_k,max_k,min_ph,max_ph,min_moisture,max_moisture,min_organic_matter,max_organic_matter
Rice,20,60,10,40,100,250,5.5,7.5,50,80,1.5,4.0
Wheat,25,60,12,40,100,250,6.0,7.5,35,65,1.5,4.0
Maize,25,60,12,40,100,300,5.5,7.5,40,70,1.5,4.0
Cotton,20,60,10,40,100,300,5.5,8.0,35,65,1.5,4.0
Groundnut,20,50,10,35,80,250,5.5,7.0,35,65,1.0,3.5
Chickpea,20,50,10,35,80,250,6.0,8.0,25,55,1.0,3.5
Pigeonpea,20,50,10,35,80,250,6.0,7.5,30,60,1.0,3.5
Sorghum,20,55,10,35,80,250,5.5,8.0,25,60,1.0,3.5
Millet,15,45,8,30,60,200,5.5,7.5,20,55,0.8,3.0
Sugarcane,30,70,15,45,120,350,6.0,7.5,50,80,2.0,5.0
